label,tweet,index
1,i'm gonna start web md site three diagnosis are- quit pussy lay drugs call 911,54
0,"idc phone u got, lol silly nigger",55
2,go slant pass outside linebacker situation.,56
1,hate hacked 20k ass hoe.,57
1,"keep talking i'm going make u can't talk, u going talking like retard",58
1,im hooked money. pussy weed bonus!,59
1,unhoe bitches,60
0,omg! say face! stupid ass hoes talkin shit! imma whoop ass! *over dramatic teenage girls*,61
2,monkey mad,62
1,liars ever .republican teabagger asshats like stockboy,63
1,forced lol mad bitches came mind thru every bar,64
1,fines hoes,65
1,"mf really like , they'll drop hoes , exes , groupies focus you.",66
1,harvard got worst hoes cheerleading america,67
1,"bitch bad, islands.",68
1,deion's bitch,69
2,debating feminism gay professor uninformed girls low iq rednecks idea fun wednesday night,70
1,cant suck dick right slap forehead. bitch needs spankin. discipline ass,71
1,"edward oss, sparkled bitch reality",72
1,birds singing brings thoughts hot flesh spring morning. hot sexual desire fills head. let taste feel you.,73
1,tweeting ur boyfriend get xbox live nigga gotta 24 kill streak rn bitch shut,74
1,pepsi cheerios smashin hoes got blue taco bae thinks flaco errybody frontin jus,75
1,bet. trash ass self petty,76
1,hated hoes favorite seven one,77
1,lol obsession smell goods. candles.plug ins.spray.the smelly good wax thingys.pussy.,78
0,nigger,79
1,fuck opp thot we'll shoot bitch,80
0,"fuckin muzzie cunts, deported, savages",81
1,gudnight keep pussy tight,82
1,"ain't got pussy weed, i'm bitch suck dick diet",83
1,ladies hoe fucked first night. let lonely bitches lie you.,84
1,bitch shit soooo funny,85
0,decided drive good walmart colored folks go bc food here.,86
1,like can't niggas thinkin ho-tep talk time apart party sets.,87
1,fuck da opps 1x fuck dear hoes 3x,88
1,shit chunky lol,89
1,said got workouts pussy!,90
1,yal faggots yup nigga n fuckin fruit cups.,91
1,7th grade bitches 3,92
1,dont try fuck got million two bitches tell all. promise,93
1,"know, bitches love",94
2,trash jersey.odds are.you last 10 minutes around here! go back watching barney!,95
0,lebron still bitch suck nigger hope die,96
2,") point, need discuss delicious vegan brownie u st. tastes!",97
1,' idk niggah give female head throw condom lmaooo niggah already ate whole std,98
1,omfg. crazy bitch,99
1,hoes like,100
1,warriors ain't winning shit curry keep playin like bitch,101
1,bitch,102
1,people bitches! complaining stupid things!,103
1,"top that, pregnant ass sorry hoe. aint never got money. even water broke. -",104
1,hoe,105
1,niggah slept perfect,106
1,nah round molly bitches nigga mollies.,107
2,; purpose charlie?,108
1,hoes like hoes like .but hoes like,109
0,likes dat magazine. da black folk look like dey one chromeasome away da ape,110
1,; ooooo give one hot pocket hoe aa mu,111
1,lmfao bitch talking i'm talking bubba voice,112
1,funny u get black female mad start acting ghetto bitch,113
2,"howard elbow bosh, bosh fight back? got mcbob bird ud",114
0,every slant lo sang el es deported. scum right here. chinatown bulldozed.,115
1,pau hoe. u gon play trade deadline,116
1,! dawg! ever fuck bitch start cry? confused shit,117
1,tyga drake two light skin bitches choose fight would go guy compton one toronto,118
1,swear disgraceful like bitch line really dry day i'll get emails pacsun !,119
0,fuck r u talking told u going tell u nigga love white bitch gtf bro,120
2,charlie sheen ice bucket challenge right way,121
1,he's pussy,122
1,cunt needs hands cut off!,123
1,bitch.,124
1,pussy shit ^,125
1,nicca anxious hear shit g,126
1,"likka downtown bitch secondline! man yeah that's ball game teddy bridgewater gettin , hit 0-3",127
1,swag swag swag bitch moooob,128
1,dont love hoes .,129
1,"little stupid ass bitch, ain't fuckin wit chuuu",130
1,i'm going ugly niggah halloween myself.,131
2,that's mock drafts joke friends. anyone?,132
1,bitch eat yah pussy wit another nigga tongue,133
1,god thinking . lol people school showing nigguh videos . im like famous oss,134
1,"idgaf that's sounds illogical, twitter bitch.",135
2,'how bout now' trash huh.,136
1,tease dick faggot,137
1,"bitch what? show tweeted,dm, texted called u asked u tryna meet bitch ur fucking weak.",138
1,"behind every independent woman, pack hating hoes",139
2,idiotic opinions like make polls less trash. polls problem people integrity voting.,140
1,"house piece full, thank god little jungle bunnies outta face",141
1,believe heart cards bitch.,142
0,big fucking deal.cry baby niggers,143
1,"aint hoe, get traphouseeee",144
0,bitch dont want ugly ass gtfo ol peyton manning lookin ass,145
1,nawwww hoe sittin floor damn couuuuuch birthday feb naa? nope,146
1,that's could always call smurf anything niggah always even im beefing w baby,147
1,jacobs like stfu bitch,148
1,hate you! cyrus ho rookie slut. getting cash date? nope nope nope.,149
1,hate people randomly stop talking like give reason bitch,150
1,pictures ex gone.there's pictures side hoe posted.*slides dm's like*,151
1,"always want speak ppl converse twitter always look like bitch, idk real life. smh",152
1,---- niggahs telling hoes i'm talking can't get,153
1,mother even bitched bitch ass ctfu,154
1,"get fuck bitches niggas love hoes, get dough.",155
1,"money n pussy want, need",156
0,find funny fags write looking bf grindr ap. lol thats fucking ap dumbass.,157
2,like weather right scaring lol yellow?,158
1,"yeah i'm bitch, guess what? still slut.",159
2,mommy said pussy cats inside dawgs house,160
1,fucking pussy that's exactly. let @ nigga talking,161
1,sober soul wasnt interesting. bitch im living,162
1,gonna shut shit bitch u get yo punk ass hoe ass nigga,163
1,yelled damn reeks weed there. (really did) stoner fag tip cop walking by. haha bitches.,164
2,flappy bird game addicting .,165
1,hell believe too! lol still look good i'm smaller half hoes,166
1,"want fire crackers baby ass fire works, az fire crackers ?",167
1,cup filled love bitch know keep one rolled,168
1,"i'm scared lose you, cause know get bitches.",169
1,problem retard liberals think supply demand means supply everything demand.,170
1,bitch played much subway surfer,171
2,generate ascii boxes nodejs see ability bring flappy-bird node via ascii tubes bird ^_^,172
1,thats bitch feel like it.,173
1,idk favoriting shit hoe. bye,174
1,bad bitch dex okay,175
2,well pee oft yellow.,176
1,equality law people white black red yellow blue. homo's hetero's well draw line.,177
1,stupid bitch count h get phone,178
1,bitches curve game serious,179
1,"hoes twerkin birkin, poppin coochie gucci, bustin wide prada, bendin louis",180
1,slapped bitch two weeks,181
2,blaxican,182
1,yasssss bitch yasssss,183
2,call song bird generation,184
1,"hysterical! calling bho monkey! north kore may bunch assholes, comment made belly laugh!",185
1,major league bitch too!,186
1,got bitches,187
1,wow well fucking cunt ),188
1,alibaba / jack gotta love guy beat meg whitman's albino ass back us. freakin' commie genius.,189
0,damn got wifey fall back nigga . share hoes,190
1,shit prolly everybody else trash,191
1,dj khaled fool .! 500k ring nikki? bitch spends good million ugly ass wigs,192
1,"im done wasting time, i'm going cut bitch faster blink.",193
1,bobby bitch hot nigga,194
1,hahahaha manziel faggot browns ruin him. win win,195
1,u got hoes tho werd,196
2,"gracias por jugar con el corazon, ahora ganarle los yankees. -",197
1,c cunt u ur cunt n sure u know ur cunt turn around bitch; ur cunt,198
1,side hoes shall eat side dishes fo ye ye eats -traprinthions 10 17,199
1,"know shoes dirty fuck, whatever, bitch. call! like, negro. one first things look shoes, dog",200
2,drinking last drop washing teapot,201
1,girl wanting shit growing hoes bout 6months,202
1,like bitch. already know answer. bri,203
1,said lifes bitch. really meant it.,204
1,never lose bitches chasing money prior es,205
1,nigga byeeeee lmfao i'll dammed fag stole girl,206
1,throwback bitches drinking mikes bc sucked,207
2,short answer yes. ~ sage grouse rebellion obama use two small birds limit oil drilling west?,208
2,"temple beats rutgers today, happy clam.",209
1,cut bitch,210
0,still think snap chat faggots high schoolers,211
1,i'm downloading new personality ordering new face! bitch. love you. goddamn it! -axl rose yelling sex robot,212
1,weazy bitch birdman jr,213
2,tomorrow's agenda bake brownies visit couple open house.,214
1,lookin ass niggas lookin ass bitches terms 2014. overused abused every fucking way,215
1,boyfriends eat yo pussy day long ur da real mvp,216
1,pussy,217
1,trust bitches,218
1,whys bitch wearing striped tshirt nike shocks,219
1,errybody dis bitch getting tips (whispers) errybody dis bitch getting tipsy,220
1,bitch crazy,221
1,"dunleavy, cracker ass honkie",222
1,niggas ain't shit hoes tricks,223
1,omg hate bitches fucking laugh. shut fuck upppp!,224
1,bitches talking bout dey bout ta chill going bitches saying dat cause getting cold u bitches,225
1,plot twist takes lot cut bitch,226
1,chill dad gets bitches school griff,227
2,"feels awkward playing . mean, know i'm rooting for, awkward.",228
2,miss monkey,229
1,thats nate dumbass mock,230
2,blue-sapphire-earrings 18k-yellow-gold-clip-on-diamond alexandra earrings emerald crystal emma,231
1,like imma stop talking vibing headphones .talk come get pussy words,232
0,got done last final i'm walkin around campus like place queer.,233
1,funny hoes texting yo phone day 3 days later boyfriend,234
2,"almost 83% children balochistan never school, followed 80% sindh, 75% kp 60% punjab.",235
1,bitch called yu back lies,236
1,since gave pussy ass getting fatter,237
1,one time illest bitch alive,238
1,"got shit changed doe , find pw bitches ! haha",239
1,money baddest bitch know,240
1,never bring hoes house cause bitches talk,241
1,wtf bitch broke arm eery time hit shit ;,242
1,"youve seen couch, bed, hoe",243
2,"bought lp manchester week, idea coloured vinyl. man steal!",244
1,two horny guys take turns beating shit tight teen pink pussy,245
1,bitches bitches bitches,246
1,i'm wigger,247
1,anyone ever gets attitude w e idgaf going bitch right back,248
1,flirting bitches twitter like,249
1,jokes offend 1. i'm sorry 2. happen 3. 1 2 lies 4. pussy,250
1,sounds like major bitches area.,251
1,shows yall bitches imitate n wonder u say things say,252
1,fell love. saw baddest bitch driving 2014 e350 amg coupe,253
1,fuk chill shit . go 0 100 hoes real quick.,254
1,bitches cant finish 6 inch sub want 12 inch dick,255
1,big lips ad bitch,256
2,"want go get brownie, i'm stuck doe.",257
1,"lowkey tired. .if tired, quiet go sleep hoe!",258
1,cheating ain't accident hoe! fallin bike accident! ain't never seen bitch trip land dick!,259
2,pinto grigio dreams turned moscato reality,260
1,living* stank pussy never ate,261
1,"theses hoes , phony",262
2,"yankees can't beat red sox, even deserve playoffs",263
1,son bitch moment walking house dark stub little toe wall,264
2,weird local ghetto school haha,265
1,"look hoes, man fuck hoes niggah lets get smoked",266
1,cut bitch !,267
1,don't. (._.) light skin bitches 30 unread texts still tweet nobody talk . bitches outta control,268
1,bradshaw ain't hoe,269
1,follow bitch lol u good follow back ha ha,270
1,ray rice still bitch. got one wrong. women fans livid!,271
2,sure pretty face cripple,272
1,"sang you, nazi *beaner",273
1,love hoes,274
1,wanna fuck bad bitches,275
1,y'all entertained bitch az niggas hitting women? smh raised you?,276
1,bitches climb climb,277
2,cuz redskins dumpster juice game week. still best rivalry sports,278
2,hungover feeling yyyyyeelllloooowwwwww yellow,279
2,need sleep can't seem get place let's clam sleep (,280
1,got red ass bitch wid red ass pussayyy,281
1,yay i'm redneck piece shit! sorry sorry,282
1,"fuck bitches, get touchdowns.",283
0,*goes olive garden* *turns cracker* *goes black friday shopping* *turns nigger*,284
0,nigga crackers chase.,285
1,haha bitch ass gucci,286
1,hahahaha fucking pussies,287
1,retweet ur dick choke bitch,288
2,"got gatorades, twinkies, rice puddings, pringles, cookies",289
1,bitch i'm gretchen weiners want,290
1,fucking pussy even beat dick. - angry youtube comment,291
1,"cinco de mind yo damn business, bitch",292
1,grew niggahs trust niggah love niggahs,293
1,goofy ass. lmfaoo make niggah laugh,294
1,get real & fucking fight play me. play pussy ass niggas.,295
1,sex guy wont keep around dumb hoes think that. theres plenty pussy. gotta guy wont give,296
1,thank god fob didnt come back shitty arena tour. sykeeee,297
1,ur around gotta keep dat scent keep filthy niggers away,298
1,out! brooklyn bound wit money. feelin like yung jeezy bitch! ; lmaoooo,299
1,"mum agrees me, ur wee moody cunt cani deal fact i'm right /",300
1,i'm tipsy. tried relate hoes mild sauce make relevant lol,301
2,love charlie,302
1,would white man even go nigger hell hole detroit? i've worked town how. y'all good niggers!,303
1,haha much payed constantly know talking about? dumb ass wade trash,304
1,smh gotta grow least know bitches want swear,305
1,clothes dryer? i'm tryna dry clothes throw hoes,306
1,im bitch im hungry !,307
1,got .05 rain yesterday including bird shit gauge.,308
2,"picture yes, updated pic added angel wing colored too, thanks represents ;)",309
1,"1,2,3,4 many niggers store knowwwww stealing , vine still weak",310
0,guy complains over-sensitive. response look complaining like little pussy. waahh waahh hypocrite,311
2,"stop smokin' bathsalt, charlie brown!",312
2,im telling man! roethlisberger got record expunged became trash.,313
1,bitch.,314
1,do? gotta report spam ladies head game better pussy,315
1,hoes wake,316
1,fw bad bitches iont mediocre.,317
1,lana uses term bad bitch uv track. i've never proud.,318
1,ima tear pussy uuuup,319
1,customers like make prices. like bitch,320
0,niggas probably watching like look uncle tom ass rasta,321
1,good dick tattoos bitches like dat. talk dem kind way bitches like dat.,322
1,next person see tweeting bitch shitting im unfollowing,323
1,hate shit like bitch can't make decent meal take hell thirst trap ;,324
1,think he's retarded somethin,325
1,"sharpton went big fat snitch skinny bitch. either way, he's nothing carni",326
1,"can't trust every face, bitch gotta watch em'",327
0,fight 1 1 ur choice game faggot see happens,328
1,hooping day tired bitch,329
0,type special faggot bring chocolate swishers smoke session.,330
1,hoe ass niggas ain't get nobody free agency.,331
1,swear bitch. talk. love attitude bruh.,332
1,hey morons fox news political bush raised terror threat right election? lmao u tea bag gers,333
1,find waldo escape bitches !,334
2,emma watson,335
1,spark bitches interests.,336
1,annie. crazy hoe,337
1,"tweeting cringiest people darth here. dana bitch lmao, follows r",338
1,"right twat, i'd tell you, honestly sky! honestly",339
1,hoes bruhhh lol,340
1,fat bitch said next time forget potato chips,341
1,"pimpinkendotnet, sell bitch pussy til drip drop wet, vet, pet! hey, bitch!",342
0,every spic cop lo sang el es raped thought raping white woman. that's half-breeds get jobs pigs.,343
1,omg bitch fucking stupid swear blah blah blah *a week later* omg ilysm bae ur best friend swear,344
1,"hoe city. make happy, move montana happy rest days.",345
1,can't imagine albino haha,346
1,ugly girls fight. pretty bitches hands lol,347
1,shit trash lol,348
2,cowboys redskins game hell game,349
1,crazy her. got know her. bitch. felt betrayed judgment.,350
1,"never leave trust bitch,",351
1,"go utes! got playboy bitches, disrespectful players, bunch spoiled hipsters school, i'm cheering you.",352
1,trill nicca since lil nicca,353
1,ugly bitches like i'm wcw duh bitch ain't nobody elses,354
1,value money.value dick.don't buy trash.don't fuck trash.,355
1,ol dirty foot ass bitches. funny me.,356
1,idk what's worse broke hoe potential,357
1,type nicca owe yu money still ask go n blunt,358
1,hot pockets hoes,359
1,poor 5sos annoying ass cunts fans. care know.,360
1,bitch i'll fuck,361
1,"principle ghetto elementary school, doubt it. fingers crossed",362
1,bitches fake one min talking hoe next min bestfriends hoe,363
1,nah nigga tried set ugliest bitch time club now. officially ain't friends dawg wtf,364
1,"real niggas know matter hungry are, better let bitches cool off! ;",365
2,poll florida governor rick scott leading charlie crist five points.,366
2,front flip trash. that's front flip swimming pool land back every time.,367
1,lmao 6 0 hella skinny bitches like,368
1,already know i'm buy many bitches drinks tonight i'll never fuck life's hits misses. gotta take chances,369
1,let hoes tell man.,370
1,got bitch combing hair me.,371
1,"*sighs* 1. bitch. i'm woman. learn difference. 2. know i'm fat. 3. called scarf, dumbass.",372
1,"yall want foreign bitches sooo bad, cant even pull local hoes",373
1,serious right now? hypocritical double standards? fuck outta face trash,374
1,"ahh see, i'm still rook knowledge hoe. i'm progressing.",375
2,y'all sleep shy glizzy young jefe,376
1,ain't say wrong stupid hoes showing get attention dudes.no one bigger game.,377
1,"poor leo,he can't help havin resting bitch face. feel ya home skillet biscuit",378
1,nigga hungry bitch,379
0,cussed fat redneck last day yolo,380
1,cunt right -,381
1,c'mon pussy,382
1,"girl like 19 pics mine instagram morning working, saw thought bitch need life",383
2,thats fav part take care whole album trash,384
1,bitches bitches.,385
1,teach really fucking bitches brah?,386
1,niggas like fuck! go 5'o __ __ cool son ___ _____ man fuck ___ ____ bitch,387
1,used dollar menu spectate mall. i'm buying bitch cause shit want .,388
2,darn trash man beat good stuff again.,389
1,there's one bae end day. cause ride unlike bitches.,390
1,herd hoes lol lmao hope shit schressful,391
0,faggots. kbye.,392
1,megatron must've fucked stafford bitch something. throw mans ball.,393
2,hey tea bagger law made felony keep collect records. get facts straight,394
2,hmu negro,395
1,love hoes ;,396
1,evilyn fierce naughty girl next door pummels pussy purple toy,397
1,far today every time try load article blaze twitter site crashes. wtf selibus cunt,398
2,thinking bout oysters gator bait tho,399
2,overdosing heavy drugs sound bad tonight. pussy shit every day.,400
1,last year cuffed bitch well ovaaaaaa,401
1,bitches happy burger king pollo tropical lunch break work act like dinner new niggaz gotta upscale.,402
2,hugs kisses? hugs. gives warm fuzzy feeling.,403
1,got kicked aa classes bc laughed guy called pussy blacking every time drank.,404
2,tattoos expression meaning. one mans trash another mans treasure,405
1,double blow bitch!,406
1,niggah niggah lol,407
1,bitch come handy times like,408
1,where'd go big mouth bitch? busy choking cock told find?,409
1,shego baddest bitch childhood,410
1,"get drunk bitch u try grab ass get offended, well excuse bitch thought u hoe",411
1,"that's good choice, except whale bitches fuck would get pregnant",412
1,da realest bitch amber,413
1,subtweettweettweettweet cuz skinny niggah dick long,414
1,bitch live little.,415
1,"say , pimp says put out, ho .",416
1,wall oft hew tch bitch!,417
1,many dumb hoes milwaukee,418
1,bitch needs turn shitty music,419
1,bitch needs ray rice'd,420
1,faggot use uber real niggas drive drunk,421
1,bitches drippin sauce,422
1,bitch hella late went yesterday lol,423
1,swear hate im somewhere woman catches rubberband clearly says kappa alpha psi ask kappa. yes bitch lol,424
1,lrt turnup lil bitch,425
1,stop sayin gov. name fuck wrong widd u bitch u stupid,426
1,well ain't bitch,427
1,attractive people gone assume got hoes,428
1,ima pull eat pussy n dip,429
2,time start listing il spook,430
2,feel i'm throwing trash away. ; everyday school.,431
1,"lmao angela look like damn potato bitch, keep talkin",432
1,i'm fuking every night new house . cause bitch worked hard fa new house .,433
1,ya kno nigga got two accounts. lil bitch start tweetin. she'll see tweets someone snitch,434
1,meet eat bitch,435
1,niggas expect pull ask hoes,436
1,"teachers always think slick, bitches subtweeting class shit.",437
1,cunt,438
1,i'm purple headed cunt,439
0,live south. lot here. pop lives rhode island. hardly niggers there.,440
1,said name bitch yes fuck boy,441
1,wet pussy smell mf,442
1,true ride die bitch fuck hahahahah,443
2,teacher always says man ever abused wife using marijuana? unless hides oreo cookies deserves it.,444
1,bitches irritating,445
1,right fam. jus peeped ur tl.cmon son.look em.he bitch,446
1,98 civic lx stick green shitty paint beaner ass wheels 180k miles ac insurance how's that?,447
1,love bitch wit sum nice teeth n lips,448
1,bitch u guessed,449
1,nun ya bidness bitch,450
1,ate pussy yeen think gone tell anybody,451
1,"nah, i'd never ask guy ride chick. what's use getting trouble trash-ass bitch?",452
1,"y'all hoes need valentine , y'all need jesus",453
1,bitch blew high,454
1,crazy ass! acting mean ratchet ghetto crack,455
1,fuck pussy boi bitch,456
1,got time dem hoes !? that's aint wassup,457
1,sprayed da vee wit peppermint oil hopefully dat fuckin spider leaves dies. hope dat bitch dying slow right,458
1,fly nicca parachute,459
1,wanna lie !? he's fuccing joke ajay gotta whole bitch oml trynna argue wit shit like fir boi !?,460
1,know im even gonna respond know real bitch!,461
1,jail crime hoe kill beats,462
2,"twitch plays call duty. enter trash talk chat, auto-aim rest",463
1,"lmfao u sloth trinidad james relaxer lookin ass bitch hate niggers, imma start talking white boys.",464
1,nigga gotta weird gay shoe fetish. i'm sick y'all letting island nigger slide!,465
1,"yet tag pussy. cripes, loser.",466
1,acting like crazy bitch told hell goes head,467
1,halloween 2011 spoopy hoe pimp daddy,468
2,lemmie eat oreo dishes. one oreo? lol,469
2,dubya hates todays teabagger movement.,470
2,step take oppurtunity! ho os ers,471
1,eat pussy unless love,472
1,ain't squad lil bitch,473
1,"thing talks eyebrows, got forest pussy.",474
1,"look bitch feet, high fashion cuh",475
0,nasty nigger whore,476
1,"roses red, camo green. trick treat bitches, happy halloween. merica.",477
1,bullying exist.bitch ass people exist! stand fuck stop pussy!,478
1,spend money weed clothes n food hoes,479
1,ugh crazy bitch crucible smh,480
2,jets trash,481
1,like bitch better chill- oh hey maria,482
1,lima fears change yet wants bitch much sucks,483
1,hate bitches post pictures cute bitches tag em it. that's low key selfish fuck,484
1,lol mentions liberal1 racist bitch liberal2 yeah kill whites (liberal1 white) liberal1,485
1,pissing trash again?,486
1,hoes quick say fuck somebody else bf make look bad? want cookie?,487
1,hate ya bitch ass,488
0,"bitch ass nigga, hating black women. uncle tom bitch punk.",489
1,pussy grab booty. love booty. appreciate booty.,490
1,"go wrong started talking you, went wrong trusted bitch ass",491
1,bitch want,492
2,single wasp could read tweets could peace treaty wasps man wasps,493
1,doc? he's pussy. ain't going anywhere.,494
1,hoes wearin flowers around head. hope bee sting ass,495
1,fuck hoes ask paco,496
1,"hating you, know bad, must something right , got bitches mad.!",497
2,gz's defense team paying media trash prosecution constantly?,498
2,beanies cumming real soon,499
2,video record charlie baker,500
2,damn directtv blackout yankee game. freaking walk off! killing satellite douche.,501
1,label hoe,502
1,ohhhhh yes bitch yesss u ready t?,503
1,would love give bitch act right juice lol,504
1,die slow bitch scary accurate,505
1,quit bitch,506
1,shoulda told yeah take home pussy lol,507
1,"nigga, bitch scaring me. pass blunt",508
0,missing something ofay friends. day scared da recent happenings. chu worry.ol lamar say like da colored folk,509
1,like bitch make cut.,510
1,got money hoes money hoes,511
1,wish ppl would learn tf stay business i'm grown ass man . go please . mind damn business bitch,512
1,"9, 10 twins. 7, 8 get pussy ate ;",513
1,retarded?,514
2,"reasons mermaid - periods - pants - perfect hair - u get lure men death also, free clam bra",515
1,"cheers you, stupid bitch.",516
2,tranny,517
2,ill scream france tom! ho os ers,518
1,see! told y'all nikko holding ass up! bitch ain't got upper body strength!,519
1,like u bitches wantttt (dmx voice),520
1,hoes hoes.,521
1,pisses much brett screams fag whore window people,522
1,nothing hate sneaky bitch,523
1,"bitch could okay fucking man knowing girl, hoe! that's it.",524
1,hate men much trying look like one? stupid little cunt,525
1,omg 9 days ! exactly week i'll vegas bitches !,526
1,"bitch gotta die 10,000 deaths. gtfoh",527
1,ok wanted know bitch 5 20 i'm,528
1,bitch speak initiate friendly hello.,529
1,.4? jesus take bitch go .4 mc donald's. fuck spot,530
1,yess bitch. messyyy,531
1,u fucking still talking bitch wanna see give fuck ugly ass girlfriend son,532
1,"lol , cool son. know grandma bald mouth got teeth hoe",533
1,dirty little bitch,534
2,"practically anything colored red often contain red pigments extracted female coccus costa, cochineal insect.",535
0,queer lady templars. that's point.,536
1,method colonial states employed france england. dont get bitch playbook,537
1,nigga retweets trash shit,538
1,"i'd rather argue make fight break , cause thirsty bitches love see happy homes fuc",539
1,ghetto hoes love feeling nigga abs ya heard,540
1,"love bffl, even smoke bday bitch gone b turntttt fa",541
1,trynna catch witchu pussy,542
1,hate people take picture like mind background nah bitch imma mind,543
1,little stupid ass bitch aint fucking,544
1,hoes saying eyebrows fleek . search twitter,545
2,best rider? goes blaxican.,546
1,wanna someone's bitch ass boyfriend right . head playin games ya boi,547
1,one biggest arrests loud mouth bitch nig ga gotta act like white bitch,548
1,yo bitch horn. tryna shoot porn. - that's shirt worthy tony,549
1,"love salad anyway fuck hoes, eat salad.",550
1,girl's hoe friends gonna gas cheat you. tall nigga abs start stroking club,551
1,vote die bitches,552
1,"dad's friend telling dad got good pussy last night , good lay . real bummer.",553
1,hate get shit done ass nigguh,554
1,woke like thi- bitch go back bed,555
1,hoe ass nigga never change,556
0,"faux noise pundits like duck molester, pro-slavery racist, homophobic teabagger darling phil robertson either",557
1,kirk ain't nothing bitch love hiphop,558
1,say it. showed yaself. bitch nobody said shut fuck fat made retarded,559
1,can't bitch future goals. love kids parent first can't deal,560
2,dude remember wop video? omg find,561
2,"bizarre sports week cle. win game felt like loss,failed ex-browns qb's duel other, lose ho",562
1,know yo pussy smells like death tf would sit let nigga finger you? bitches shame man.,563
1,check joy pain nicca,564
2,truth david charlie brown scandal,565
1,ask 2014? i'mma make dat bitch bitch!,566
0,fuck ass redskin corners,567
2,love birds chirping morning,568
1,"take girl back cheats you, little bitch.",569
1,"yeah, niggas straight bitches.",570
1,problem got strong idgaf attitude. ion show feelings pussy mfs,571
2,couple red sox gotten past first base. i'm dying laughing. maybe yanks need teach game.,572
1,couldnt host 106 park . i'd fuck many young bitches,573
1,hurt hoes like,574
2,"ugh , put one 420 dead center",575
1,remember lil bitch caught slippin n get ina car 2 mins later i'm lookin nigga holdin gun face.,576
1,party goin chain/bad bitches,577
1,"hoe bang big | | got nerves think better us , bitches chill",578
1,remember fat bitch stealing kfc bucket hauling ass,579
0,well gahdamn. wooooow good job mommy cutest thing blue ivy ever done still ugly nigger baby,580
2,oreo cookie now.,581
0,"brady heard yall say washed, washing league hoe ass niggas.",582
2,"word. ur decisions include anchor, feather, infinity sign, bird?",583
2,lot though. attitudes pure trash swirl world,584
1,stop fucking calling legends trash. cuz top artists generation take legends.,585
0,look nigger ass nigger shit right,586
1,"heard haters talking, heard bitches fucking. must something right",587
1,"answer phone hoe, heard boutcha",588
2,jay-z bey never be.jus trash,589
1,"want bitches, big boooty bitches",590
1,"seriously, cares color somebody is? makes huge faggot book.",591
1,"cuz soon u start wack/cute shit w hoe, girl really.",592
2,"doctors office retarded, noticed put prescription order, canceled it. give us call need refill, thanks!",593
1,. metal monkey balls!,594
2,mean crowd crows,595
1,oh yea a-lo aka mr bitches lmao,596
1,one wrong move consider bitch mine ;,597
1,cheap hair. cheap dresses. cheap shoes. tacky ass little bitches,598
1,bitch wtf r u talking tf r u still talking shit action thank proving point pussy boy,599
1,fuckin call venue they'll cancel lost tickets reprint new ones dumb bitch,600
2,lil spook yung lean robb night,601
1,neice getting big . ready punch sum bitches lol,602
1,naw really bitch mean yo address,603
